ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
33,"SÃO FRANCISCO - DELEGACIA DE
POLÍCIA CIVIL",SEVIC,,47590,515370,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"COLORIDA, CONEXÃO 01 USB,01 TELEFONE,01 RJ 45 - MARCA
HP - MODELO OFFICE PRO 8600
Dt. aquisição: 10/06/2013
Convênio n.o 761513/2011-SENASP/MJ",BOM,"R$                                304,00"
34,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",COMISSARIADO,,18059,511492,E8BY359504,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"MOD. FX-890
Dt. aquisição: 16/04/2009",BOM,"R$                                 656,00"
35,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",NÚCLEO DE INTELIGÊNCIA,,47478,515110,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"MULTIFUNCIONAL HP SCANNER FAX IMPRESSORA OFFICEJET
PRO 8600 HP JATO DE TINTA COLORIDA,CONEXÃO 01 USB,01
TELEFONE 01 RJ 45
Dt. aquisição: 10/06/2013
Convenio: CONVENIO N.o 761513/2011-SENASP/MJ",BOM,"R$                                246,00"
36,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",CARTÓRIO 1a DP,,6185,552077,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/COMPUTADOR MULTIFUNCIONAL PHOTOS MART
C3180
Dt. aquisição: 18/04/2007",BOM,"R$                                 325,00"
37,CACOAL - DEAM,CARTÓRIO,,50943,546401,511669,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MODELO F1-6110 - MARCA FUJITSU
Dt. aquisição: 02/07/2014
Convênio: CONVÊNIO 003/2010-SENASP/MJ",BOM,"R$                                574,00"
38,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",CARTÓRIO DHPP,,35066,561084,28168,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE MESA FUJITSU ALIMENTAÇÃO AUTOMÁTICA F1-640
Dt. aquisição: 18/11/2010",BOM,"R$                              1 .781,00"
39,"SÃO MIGUEL - DELEGACIA REGIONAL
DE POLÍCIA CIVIL",COZINHA,,47585,543962,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"MULTIFUNCIONAL (SCANNER ,FAX, IMPRESSORA) OFFICEJET
JATO DE TINTA, COLORIDA, CONEXÃO 01 USB, 01 TELEFONE, 01
RJ 45 - MARCA HP - MODELO OFFICE PRO 8600
Dt. aquisição: 10/06/2013
Convênio: CONVENIO N.o 761513/2011-SENASP/MJ",BOM,"R$                                 304,00"
40,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",SEVIC 02,,50959,561421,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE MESA FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: CONVENIO 003/2010-SENASP/MJ",BOM,"R$                                429,00"
41,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",CARTÓRIO TCO,,45406,562710,CB5093696,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA LASERJET HP CB509A P4015N
Dt. aquisição: 12/06/2013",BOM,"R$                              1 .045,00"
ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
42,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",CARTÓRIO/TCO,,50990,562959,511322,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110 - MARCAFUJITSU - MODELO
F1-6110
Dt. aquisição: 02/07/2014
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                 574,00"
43,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",CARTÓRIO 01 1a DP,,51042,561207,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE MESA FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: CONVENIO 003/2010-SENASP/MJ",BOM,"R$                                429,00"
44,"SÃO MIGUEL - DELEGACIA REGIONAL
DE POLÍCIA CIVIL",CORREDOR,,47595,543996,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"MULTIFUNCIONAL (SCANNER ,FAX, IMPRESSORA) OFFICEJET
JATO DE TINTA, COLORIDA, CONEXÃO 01 USB, 01 TELEFONE, 01
RJ 45 - MARCA HP - MODELO OFFICE PRO 8600
Dt. aquisição: 10/06/2013
Convênio: CONVENIO N.o 761513/2011-SENASP/MJ",BOM,"R$                                 304,00"
45,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",ADMINISTRAÇÃO 1a DP,,50947,561142,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE MESA FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: CONVENIO 003/2010-SENASP/MJ",BOM,"R$                                429,00"
46,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,50995,562977,511400,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110 - MARCAFUJITSU - MODELO
F1-6110
Dt. aquisição: 02/07/2014
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                574,00"
47,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",CARTÓRIO 03 1a DP,,51028,561267,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE MESA FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: FUNRESPOL PC",BOM,"R$                                 429,00"
48,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",CARTÓRIO TCO,,9862,554923,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE PRODUÇÃO FUJITSUFI-6140
Dt. aquisição: 11/12/2008",BOM,"R$                              1 .599,00"
49,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",SEVIC 01,,18156,556965,E8BY355884,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/COMPUTADOR EPSON FX-890
Dt. aquisição: 16/04/2009",BOM,"R$                                715,00"
50,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",NÚCLEO DE INTELIGENCIA,,50928,561429,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE MESA FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: CONVENIO 003/2010-SENASP/MJ",BOM,"R$                                429,00"
51,"CACOAL - DELEGACIA REGIONAL DE
POLÍCIA CIVIL",VÍDEO CONFERÊNCIA,,9852,554906,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE PRODUÇÃO FUJITSU FI-6140
Dt. aquisição: 11/12/2008",BOM,"R$                              1 .599,00"
52,"DEL. ASSUNTOS PENITENCIÁRIOS -
PORTO VELHO",DEPÓSITO 02,,8639,593955,FCSM072435,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA EPSON P/ COMPUTADOR MATRICIAL DE 80
COLUNAS C/ 09 AGULHAS MOD. FX-890
Dt. aquisição: 20/11/2007",BOM,"R$                                 615,00"
53,"ROLIM DE MOURA - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",CARTÓRIO,,23398,582929,72L7H86,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA LEXMARK X203N PARA COMPUTADOR
MULTIFUNCIONAL, 600X600DPI.
Dt. aquisição: 15/10/2009.",BOM,"R$                                546,00"
54,"ROLIM DE MOURA - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",CARTÓRIO,,18432,578028,CN87G5N0K6,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA HP J3680 PARA COMPUTADOR MULTIFUNCIONAL,
COM TELEFONE, FAX E SCANNER.
Dt. aquisição: 08/04/2009.
Convenio: CONVENIO 003/2010-SENASP/MJ.",BOM,"R$                                 169,00"
55,"DEL. ASSUNTOS PENITENCIÁRIOS -
PORTO VELHO","GABINETE DELEGADO
TITULAR",,17921,592406,BRGS91M03N,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA HP P/ COMPUTADOR A LASER MOD. P3005
Dt. aquisição: 06/03/2009",BOM,"R$                              1 .025,00"
56,"ROLIM DE MOURA - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",INFORMÁTICA,,27907,577608,GAL081276,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA XEROX MULTIFUNCIONAL MONOCROMÁTICA,
FUNÇÕES COPIADORA, SCANNER E TRANSMISSÃO/RECEPÇÃO
DE FAX.
Dt. aquisição: 11/06/2013.
Convenio: SESDEC.",REGULAR,"R$                                 169,00"
57,"DELEGACIA DE FURTOS E ROUBOS -
PORTO VELHO",CARTÓRIO,,51008,628393,511289,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: FUNRESPOL PC",BOM,"R$                                 635,50"
58,"DELEGACIA DE FURTOS E ROUBOS -
PORTO VELHO",SEVIC,,5635,624135,BYH306641,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/COMPUTADOR PHASER 3428 DN XEROX LASER
MONOCROMATICA
Dt. aquisição: 09/02/2007",BOM,"R$                                 286,00"
59,"DELEGACIA DE FURTOS E ROUBOS -
PORTO VELHO",CARTÓRIO,,50999,628389,511377,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: FUNRESPOL PC",BOM,"R$                                 635,50"
60,"DELEGACIA ESPECIALIZADA EM
REPRESSÃO AOS CONFLITOS
AGRÁRIOS (DERCA) - PORTO VELHO",GABINETE,,9258,619974,BR89KGN0JX,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA PARA COMPUTADOR,  MULTIFUNCIONAL, - MARCA
""HP"" - MODELO DESKJET-F4180.
Dt. aquisição: 28/10/2008",BOM,"R$                                 208,00"
61,"CENTRAL DE POLÍCIA - PORTO
VELHO",CARTÓRIO 03,,9868,622951,7332,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER DE PRODUÇÃO FUJITSU FI 6140
Dt. aquisição: 11/12/2008",BOM,"R$                              1.560,00"
62,"CENTRAL DE POLÍCIA - PORTO
VELHO",SEVIC,,23356,624518,5900CD4,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/ COMPUTADOR LEXMARK 600X600DPI
Dt. aquisição: 15/10/2009",BOM,"R$                                 650,00"
ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
63,DEAAI - PORTO VELHO,CARTÓRIO,,50997,640487,511675,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110 - MARCA FUJITSU - MODELO F1-
6110
Dt. aquisição: 02/07/2014
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                 658,00"
64,DEAAI - PORTO VELHO,CARTÓRIO,,51014,640502,511281,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110 - MARCA FUJITSU - MODELO F1-
6110
Dt. aquisição: 02/07/2014
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                 658,00"
65,DEI- DRACO - PORTO VELHO,"NÚCLEO DE
ADMINISTRAÇÃO",,50958,712082,511298,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: CONVENIO 003/2010-SENASP/MJ",BOM,"R$                                 656,00"
66,DEI- DRACO - PORTO VELHO,"NÚCLEO DE
ADMINISTRAÇÃO",,8555,711972,FCSM072906,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/COMPUTADOR FX-890EPSON MATRICIAL DE 80
COLUNAS C/ 09 AGULHAS
Dt. aquisição: 20/11/2007",BOM,"R$                                 780,00"
67,DEI- DRACO - PORTO VELHO,DRACO,SEVIC,50940,710271,511627,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: CONVENIO 003/2010-SENASP/MJ",BOM,"R$                                 656,00"
68,DEI- DRACO - PORTO VELHO,"NÚCLEO DE ANALISE DE
SINAIS",,17978,712165,BRGS91M02Z,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA HP MOD. P3005 P/COMPUTADOR A LASER
Dt. aquisição: 06/03/2009
Convenio: FUNRESPOL PC",BOM,"R$                              1.230,00"
69,DEI- DRACO - PORTO VELHO,"LABORATÓRIO CONTRA
LAVAGEM DE DINHEIRO",,50916,711426,511418,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: CONVENIO 003/2010-SENASP/MJ",BOM,"R$                                 656,00"
70,DEI- DRACO - PORTO VELHO,CARTÓRIO,,50926,695327,511288,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: CONVENIO 003/2010-SENASP/MJ",BOM,"R$                                 656,00"
71,DEI- DRACO - PORTO VELHO,RECEPÇÃO,,51404,712511,4063369909K9K,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA LEXMARK MS810  LASER MONOCROMÁTICA 53
PPM
Dt. aquisição: 04/08/2014
Convenio: FUNRESPOL/PC",BOM,"R$                              1.230,00"
72,DEI- DRACO - PORTO VELHO,GABINETE II,,35047,704346,28063,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU F1-640 DE MESA,ALIMENTAÇÃO AUTOMÁTICA
Dt. aquisição: 18/11/2010",BOM,"R$                              2.685,50"
73,DEI- DRACO - PORTO VELHO,CARTÓRIO,,37158,695278,BRDY935667,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA HP P4015N P/COMPUTADOR LASER
MONOCROMÁTICA
Dt. aquisição: 14/07/2011",BOM,"R$                              1.230,00"
74,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,8777,551856,018NJS02KQ,"APARELHO TRANSMISSOR E RECEPTOR DE SINAIS PARA
RÁDIO E TELEVISÃO",1.2.3.1.1.01.02,"RADIO TRANSCEPTOR MÓVEL 16 CANAIS COM BATERIA
RESERVA, CLIP, CARREGADOR, ANTENA - MARCA
MOTOROLA - MODELO EP-450
Dt. aquisição: 15/09/2008",BOM,"R$                                 455,00"
75,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,8878,551865,,"APARELHO TRANSMISSOR E RECEPTOR DE SINAIS PARA
RÁDIO E TELEVISÃO",1.2.3.1.1.01.02,"RADIO TRANSCEPTOR MÓVEL 16 CANAIS COM BATERIA
RESERVA, CLIP, CARREGADOR, ANTENA - MARCA
MOTOROLA - MODELO EP-450
Dt. aquisição: 15/09/2008",BOM,"R$                                455,00"
76,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,8892,551872,,"APARELHO TRANSMISSOR E RECEPTOR DE SINAIS PARA
RÁDIO E TELEVISÃO",1.2.3.1.1.01.02,"RADIO TRANSCEPTOR MÓVEL 16 CANAIS COM BATERIA
RESERVA, CLIP, CARREGADOR, ANTENA - MARCA
MOTOROLA - MODELO EP-450
Dt. aquisição: 15/09/2008",BOM,"R$                                 455,00"
77,DÉCIMA DELEGACIA - NOVA MUTUM,COMISSARIADO,,21369,562167,,"APARELHO TRANSMISSOR E RECEPTOR DE SINAIS PARA
RÁDIO E TELEVISÃO",1.2.3.1.1.01.02,"ESTACÃO DE TRANSMISSÃO FIXA MOTOROLA PRO 5100 VHF/FM
45W 64 CANAIS
Dt. aquisição: 13/08/2009",BOM,"R$                              1 .820,00"
78,"ROLIM DE MOURA - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",NÚCLEO DE INTELIGÊNCIA,,10223,577754,672NKG00BS,"APARELHO TRANSMISSOR E RECEPTOR DE SINAIS PARA
RÁDIO E TELEVISÃO",1.2.3.1.1.01.02,"RADIO TRANSCEPTOR MOTOROLA PRO515045W, PORTÁTIL
COMPLETO, VHF/FM.
Dt. aquisição: 25/06/2009.",BOM,"R$                                572,00"
79,"ROLIM DE MOURA - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",NÚCLEO DE INTELIGÊNCIA,,8895,584544,018NJS037X,"APARELHO TRANSMISSOR E RECEPTOR DE SINAIS PARA
RÁDIO E TELEVISÃO",1.2.3.1.1.01.02,"RADIO TRANSCEPTOR MÓVEL MOTOROLA EP-450 16 CANAIS,
BATERIA RESERVA, CLIP, CARREGADOR, ANTENA.
Dt. aquisição: 15/09/2008.",BOM,"R$                                 455,00"
